File accession	File format	Output type	Experiment accession	Assay	Biosample term id	Biosample term name	Biosample type	Biosample life stage	Biosample sex	Biosample Age	Biosample organism	Biosample treatments	Biosample subcellular fraction term name	Biosample phase	Biosample synchronization stage	Experiment target	Antibody accession	Library made from	Library depleted in	Library extraction method	Library lysis method	Library crosslinking method	Library strand specific	Experiment date released	Project	RBNS protein concentration	Library fragmentation method	Library size range	Biological replicate(s)	Technical replicate	Read length	Mapped read length	Run type	Paired end	Paired with	Derived from	Size	Lab	md5sum	dbxrefs	File download URL	Assembly	Platform	Controlled by	File Status	Audit WARNING	Audit INTERNAL_ACTION	Audit NOT_COMPLIANT	Audit ERROR
ENCFF000NTP	bigBed broadPeak	peaks	ENCSR000BRX	ChIP-seq	EFO:0002784	GM12878	immortalized cell line	adult	female	unknown	Homo sapiens					CEBPB-human	ENCAB000AFB	DNA		see document	see document		False	2012-09-10	ENCODE				1	1						ENCFF001TWN	335555	Richard Myers, HAIB	8fb90f43a6dfb51844bf04ee92e9ab8a		https://www.encodeproject.org/files/ENCFF000NTP/@@download/ENCFF000NTP.bigBed	hg19			archived	low read length, inconsistent platforms, low read depth	biological replicates with identical biosample		
ENCFF000NTQ	bigBed broadPeak	peaks	ENCSR000BRX	ChIP-seq	EFO:0002784	GM12878	immortalized cell line	adult	female	unknown	Homo sapiens					CEBPB-human	ENCAB000AFB	DNA		see document	see document		False	2012-09-10	ENCODE				2	1						ENCFF001TWO	151683	Richard Myers, HAIB	d3b235508541579fb7fb6c34c2f28def		https://www.encodeproject.org/files/ENCFF000NTQ/@@download/ENCFF000NTQ.bigBed	hg19			archived	low read length, inconsistent platforms, low read depth	biological replicates with identical biosample		
ENCFF000NUB	fastq	reads	ENCSR000BRX	ChIP-seq	EFO:0002784	GM12878	immortalized cell line	adult	female	unknown	Homo sapiens					CEBPB-human	ENCAB000AFB	DNA		see document	see document		False	2012-09-10	ENCODE				2	1	36		single-ended				854929085	Richard Myers, HAIB	1d6b1da28949f51e5913b161dc35be9b		https://www.encodeproject.org/files/ENCFF000NUB/@@download/ENCFF000NUB.fastq.gz		Illumina Genome Analyzer IIx	/files/ENCFF000ODV/	released	low read length, inconsistent platforms, low read depth	biological replicates with identical biosample		
ENCFF000NUD	fastq	reads	ENCSR000BRX	ChIP-seq	EFO:0002784	GM12878	immortalized cell line	adult	female	unknown	Homo sapiens					CEBPB-human	ENCAB000AFB	DNA		see document	see document		False	2012-09-10	ENCODE				1	1	36		single-ended				1657780873	Richard Myers, HAIB	d40c55de2079b14a48534fc12b88a811		https://www.encodeproject.org/files/ENCFF000NUD/@@download/ENCFF000NUD.fastq.gz		Illumina Genome Analyzer IIx	/files/ENCFF000ODV/	released	low read length, inconsistent platforms, low read depth	biological replicates with identical biosample		
ENCFF001TWN	bed broadPeak	peaks	ENCSR000BRX	ChIP-seq	EFO:0002784	GM12878	immortalized cell line	adult	female	unknown	Homo sapiens					CEBPB-human	ENCAB000AFB	DNA		see document	see document		False	2012-09-10	ENCODE				1	1							185541	Richard Myers, HAIB	44ea65b58f0a2a3323da5ac9b13418c1		https://www.encodeproject.org/files/ENCFF001TWN/@@download/ENCFF001TWN.bed.gz	hg19			archived	low read length, inconsistent platforms, low read depth	biological replicates with identical biosample, missing derived_from		
ENCFF001TWO	bed broadPeak	peaks	ENCSR000BRX	ChIP-seq	EFO:0002784	GM12878	immortalized cell line	adult	female	unknown	Homo sapiens					CEBPB-human	ENCAB000AFB	DNA		see document	see document		False	2012-09-10	ENCODE				2	1							56396	Richard Myers, HAIB	1d9324753fc1e855a2b861dcc215ca48		https://www.encodeproject.org/files/ENCFF001TWO/@@download/ENCFF001TWO.bed.gz	hg19			archived	low read length, inconsistent platforms, low read depth	biological replicates with identical biosample, missing derived_from		
ENCFF002CGU	bed narrowPeak	optimal idr thresholded peaks	ENCSR000BRX	ChIP-seq	EFO:0002784	GM12878	immortalized cell line	adult	female	unknown	Homo sapiens					CEBPB-human	ENCAB000AFB	DNA		see document	see document		False	2012-09-10	ENCODE												131400	ENCODE Consortium Analysis Working Group	717cd4e7bb5b9ca65081a1435a3b0cd0		https://www.encodeproject.org/files/ENCFF002CGU/@@download/ENCFF002CGU.bed.gz	hg19			archived	low read length, inconsistent platforms, low read depth	biological replicates with identical biosample, missing derived_from		
ENCFF557EOJ	bigBed narrowPeak	optimal idr thresholded peaks	ENCSR000BRX	ChIP-seq	EFO:0002784	GM12878	immortalized cell line	adult	female	unknown	Homo sapiens					CEBPB-human	ENCAB000AFB	DNA		see document	see document		False	2012-09-10	ENCODE											ENCFF002CGU	329295	ENCODE Consortium	0bf17b5e6929de174eb079292f6691ae		https://www.encodeproject.org/files/ENCFF557EOJ/@@download/ENCFF557EOJ.bigBed	hg19			archived	low read length, inconsistent platforms, low read depth	biological replicates with identical biosample		
ENCFF000WDQ	bigBed narrowPeak	peaks	ENCSR000DNP	ChIP-seq	EFO:0002784	GM12878	immortalized cell line	adult	female	unknown	Homo sapiens					SUPT20H-human	ENCAB000ALB	DNA		see document	see document		False	2011-10-29	ENCODE											ENCFF001VFI	531723	Kevin Struhl, HMS	6880e62b8a8ce858ae7e0722facb4fe4		https://www.encodeproject.org/files/ENCFF000WDQ/@@download/ENCFF000WDQ.bigBed	hg19			released	low read length, mild to moderate bottlenecking, low read depth, moderate library complexity	mismatched file status, biological replicates with identical biosample		
ENCFF000WEO	fastq	reads	ENCSR000DNP	ChIP-seq	EFO:0002784	GM12878	immortalized cell line	adult	female	unknown	Homo sapiens					SUPT20H-human	ENCAB000ALB	DNA		see document	see document		False	2011-10-29	ENCODE				2	1	36		single-ended				1052184008	Kevin Struhl, HMS	030a6c3bebaa735cac11a06582c5d073		https://www.encodeproject.org/files/ENCFF000WEO/@@download/ENCFF000WEO.fastq.gz		Illumina Genome Analyzer	/files/ENCFF000VWV/	released	inconsistent control read length, low read length, mild to moderate bottlenecking, low read depth, moderate library complexity	mismatched file status, biological replicates with identical biosample		
ENCFF000WEP	fastq	reads	ENCSR000DNP	ChIP-seq	EFO:0002784	GM12878	immortalized cell line	adult	female	unknown	Homo sapiens					SUPT20H-human	ENCAB000ALB	DNA		see document	see document		False	2011-10-29	ENCODE				1	1	36		single-ended				972321661	Kevin Struhl, HMS	622e861a03c3bcbb49b9e4ced45bb9e2		https://www.encodeproject.org/files/ENCFF000WEP/@@download/ENCFF000WEP.fastq.gz		Illumina Genome Analyzer	/files/ENCFF000VWV/	released	inconsistent control read length, low read length, mild to moderate bottlenecking, low read depth, moderate library complexity	mismatched file status, biological replicates with identical biosample		
