File accession	File format	Output type	Experiment accession	Assay	Biosample term id	Biosample term name	Biosample type	Biosample life stage	Biosample sex	Biosample Age	Biosample organism	Biosample treatments	Biosample subcellular fraction term name	Biosample phase	Biosample synchronization stage	Experiment target	Antibody accession	Library made from	Library depleted in	Library extraction method	Library lysis method	Library crosslinking method	Library strand specific	Experiment date released	Project	RBNS protein concentration	Library fragmentation method	Library size range	Biological replicate(s)	Technical replicate	Read length	Mapped read length	Run type	Paired end	Paired with	Derived from	Size	Lab	md5sum	dbxrefs	File download URL	Assembly	Platform	Controlled by	File Status	Audit WARNING	Audit INTERNAL_ACTION	Audit NOT_COMPLIANT	Audit ERROR
ENCFF000ROU	fastq	reads	ENCSR000DKV	ChIP-seq	EFO:0002784	GM12878	immortalized cell line	adult	female	unknown	Homo sapiens					CTCF-human	ENCAB000AXY	DNA		see document	see document		False	2011-03-17	ENCODE				1	1	35		single-ended				358306226	Vishwanath Iyer, UTA	49d078a7cc72e52fdca9c9806c9d375f		https://www.encodeproject.org/files/ENCFF000ROU/@@download/ENCFF000ROU.fastq.gz		Illumina Genome Analyzer	/files/ENCFF000RPB/	released	inconsistent platforms	biological replicates with identical biosample	insufficient read length	
ENCFF000ROX	fastq	reads	ENCSR000DKV	ChIP-seq	EFO:0002784	GM12878	immortalized cell line	adult	female	unknown	Homo sapiens					CTCF-human	ENCAB000AXY	DNA		see document	see document		False	2011-03-17	ENCODE				3	1	33		single-ended				513185151	Vishwanath Iyer, UTA	60159eff02f764d871ed8c38882debb7		https://www.encodeproject.org/files/ENCFF000ROX/@@download/ENCFF000ROX.fastq.gz		Illumina Genome Analyzer	/files/ENCFF000RPB/	released	inconsistent platforms	biological replicates with identical biosample	insufficient read length	
ENCFF000ROZ	fastq	reads	ENCSR000DKV	ChIP-seq	EFO:0002784	GM12878	immortalized cell line	adult	female	unknown	Homo sapiens					CTCF-human	ENCAB000AXY	DNA		see document	see document		False	2011-03-17	ENCODE				2	1	35		single-ended				904880702	Vishwanath Iyer, UTA	8857dc283de4486075d9220966431943		https://www.encodeproject.org/files/ENCFF000ROZ/@@download/ENCFF000ROZ.fastq.gz		Illumina Genome Analyzer	/files/ENCFF000RPB/	released	inconsistent platforms	biological replicates with identical biosample	insufficient read length	
ENCFF000OFY	fastq	reads	ENCSR000BQZ	ChIP-seq	EFO:0002784	GM12878	immortalized cell line	adult	female	unknown	Homo sapiens					STAT5A-human	ENCAB000ALI	DNA		see document	see document		False	2012-02-29	ENCODE				1	1	36		single-ended				1475102617	Richard Myers, HAIB	1d07180af1e2d540e5f2e503dfa484e8		https://www.encodeproject.org/files/ENCFF000OFY/@@download/ENCFF000OFY.fastq.gz		Illumina Genome Analyzer IIx	/files/ENCFF000ODV/	released	low read length, inconsistent platforms	biological replicates with identical biosample		
ENCFF000OGA	fastq	reads	ENCSR000BQZ	ChIP-seq	EFO:0002784	GM12878	immortalized cell line	adult	female	unknown	Homo sapiens					STAT5A-human	ENCAB000ALI	DNA		see document	see document		False	2012-02-29	ENCODE				2	1	36		single-ended				1700877146	Richard Myers, HAIB	77e752e4533524e29ee48aa9a201a2b7		https://www.encodeproject.org/files/ENCFF000OGA/@@download/ENCFF000OGA.fastq.gz		Illumina Genome Analyzer IIx	/files/ENCFF000ODV/	released	low read length, inconsistent platforms	biological replicates with identical biosample		
ENCFF000RPI	fastq	reads	ENCSR000DKT	ChIP-seq	EFO:0002784	GM12878	immortalized cell line	adult	female	unknown	Homo sapiens					POLR2A-human	ENCAB000AOC	DNA		see document	see document		False	2011-03-17	ENCODE				1	1	33		single-ended				767098314	Vishwanath Iyer, UTA	284e70e9916c0b35a8340784d8e08238		https://www.encodeproject.org/files/ENCFF000RPI/@@download/ENCFF000RPI.fastq.gz		Illumina Genome Analyzer	/files/ENCFF000RPB/	released	mixed read lengths, low read depth, low read length, mild to moderate bottlenecking, inconsistent platforms	biological replicates with identical biosample	insufficient read length, insufficient read depth, severe bottlenecking, poor library complexity	
ENCFF000RPL	fastq	reads	ENCSR000DKT	ChIP-seq	EFO:0002784	GM12878	immortalized cell line	adult	female	unknown	Homo sapiens					POLR2A-human	ENCAB000AOC	DNA		see document	see document		False	2011-03-17	ENCODE				2	1	36		single-ended				668605348	Vishwanath Iyer, UTA	7dc1d7dbf009327e1344261758218e3e		https://www.encodeproject.org/files/ENCFF000RPL/@@download/ENCFF000RPL.fastq.gz		Illumina Genome Analyzer	/files/ENCFF000RPB/	released	mixed read lengths, low read depth, mild to moderate bottlenecking, inconsistent control read length, low read length, inconsistent platforms	biological replicates with identical biosample	insufficient read length, insufficient read depth, severe bottlenecking, poor library complexity	
ENCFF000VVP	fastq	reads	ENCSR000DZQ	ChIP-seq	EFO:0002784	GM12878	immortalized cell line	adult	female	unknown	Homo sapiens					EBF1-human	ENCAB000AFX	DNA		see document	see document		False	2011-10-29	ENCODE				1	1	36		single-ended				1477117077	Michael Snyder, Stanford	a6ff7c0c003cdfdc3341d1b3e4a22972		https://www.encodeproject.org/files/ENCFF000VVP/@@download/ENCFF000VVP.fastq.gz		Illumina Genome Analyzer	/files/ENCFF000VWV/	released	low read depth, low read length, inconsistent control read length	mismatched file status, biological replicates with identical biosample		
ENCFF000VVQ	fastq	reads	ENCSR000DZQ	ChIP-seq	EFO:0002784	GM12878	immortalized cell line	adult	female	unknown	Homo sapiens					EBF1-human	ENCAB000AFX	DNA		see document	see document		False	2011-10-29	ENCODE				2	1	36		single-ended				994552200	Michael Snyder, Stanford	5e7f2eec5d5115f361ed5ec6f1b22b68		https://www.encodeproject.org/files/ENCFF000VVQ/@@download/ENCFF000VVQ.fastq.gz		Illumina Genome Analyzer	/files/ENCFF000VWV/	released	low read depth, low read length, inconsistent control read length	mismatched file status, biological replicates with identical biosample		
ENCFF000NUB	fastq	reads	ENCSR000BRX	ChIP-seq	EFO:0002784	GM12878	immortalized cell line	adult	female	unknown	Homo sapiens					CEBPB-human	ENCAB000AFB	DNA		see document	see document		False	2012-09-10	ENCODE				2	1	36		single-ended				854929085	Richard Myers, HAIB	1d6b1da28949f51e5913b161dc35be9b		https://www.encodeproject.org/files/ENCFF000NUB/@@download/ENCFF000NUB.fastq.gz		Illumina Genome Analyzer IIx	/files/ENCFF000ODV/	released	low read depth, low read length, inconsistent platforms	biological replicates with identical biosample		
