FastqFileAcc	Target	ExperimentAcc	ExperimentAcc share the same Target	PeakType	BedFileAcc from the same ExperimentAcc
ENCFF818LOF	CEBPZ	ENCSR347NOB	ENCSR347NOB	narrowPeak	ENCFF932DYK.bed,ENCFF140CXA.bed,ENCFF045PNJ.bed,ENCFF235AEB.bed,ENCFF920HDC.bed
ENCFF385BNN	RELB	ENCSR387QUV	ENCSR387QUV	narrowPeak	ENCFF355VTC.bed,ENCFF967CAZ.bed,ENCFF747HDW.bed,ENCFF739VBA.bed,ENCFF456FQB.bed
ENCFF861XUI	GATAD2B	ENCSR828NCB	ENCSR828NCB	narrowPeak	ENCFF271HBJ.bed,ENCFF456YII.bed,ENCFF040LOQ.bed,ENCFF444FZU.bed,ENCFF855RKW.bed
ENCFF690LCG	HDGF	ENCSR145XQO	ENCSR145XQO	narrowPeak	ENCFF816GZA.bed,ENCFF991QKE.bed,ENCFF432SFP.bed,ENCFF935HIG.bed,ENCFF637CIX.bed
ENCFF960TNP	ZNF143	ENCSR936XTK	ENCSR936XTK,ENCSR000DZL	narrowPeak	ENCFF114HTB.bed,ENCFF405WZX.bed,ENCFF369JYP.bed,ENCFF648GNP.bed,ENCFF544NXC.bed
ENCFF000VZN	RELA	ENCSR000EAG	ENCSR000EAG	narrowPeak	ENCFF001VET.bed,ENCFF002CPA.bed
ENCFF000VZL	NFE2	ENCSR000DZY	ENCSR000DZY	narrowPeak	ENCFF001VES.bed,ENCFF002COZ.bed
ENCFF000VZK	NFE2	ENCSR000DZY	ENCSR000DZY	narrowPeak	ENCFF001VES.bed,ENCFF002COZ.bed
ENCFF439JPL	ASH2L	ENCSR849WCQ	ENCSR849WCQ	narrowPeak	ENCFF217GDM.bed,ENCFF684QPN.bed,ENCFF801ULT.bed,ENCFF917CXD.bed,ENCFF527XHG.bed
ENCFF000OCP	RUNX3	ENCSR000BRI	ENCSR000BRI	narrowPeak	ENCFF002CHS.bed
ENCFF639NST	NFXL1	ENCSR746XEG	ENCSR746XEG	narrowPeak	ENCFF763SSU.bed,ENCFF635ZSK.bed,ENCFF166FRO.bed,ENCFF593EHO.bed,ENCFF044ASF.bed
ENCFF000VZZ	NFYB	ENCSR000DNM	ENCSR000DNM	narrowPeak	ENCFF001VEV.bed,ENCFF002CPC.bed
ENCFF000VZW	RELA	ENCSR000EAG	ENCSR000EAG	narrowPeak	ENCFF001VET.bed,ENCFF002CPA.bed
ENCFF000VZT	NFYA	ENCSR000DNN	ENCSR000DNN	narrowPeak	ENCFF001VEU.bed,ENCFF002CPB.bed
ENCFF000VZR	NFYA	ENCSR000DNN	ENCSR000DNN	narrowPeak	ENCFF001VEU.bed,ENCFF002CPB.bed
